Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%),Carbon Footprint (Million Tonnes CO₂e),Energy Emissions (Million Tonnes CO₂e),Transport Emissions (Million Tonnes CO₂e),Industrial Emissions (Million Tonnes CO₂e),Deforestation Emissions (Million Tonnes CO₂e),Waste Emissions (Million Tonnes CO₂e),Total Sector Emissions (Million Tonnes CO₂e)
2010,Kerala,Energy,448.18,12.47,10.36,272.21,351.58,193.1,1.72,86338.69,14.08,79.68,44.28,53.56,3542.74,0.24498899999999998,3.9559999999999995,608.265,0.03984000000000001,247.968,860.473829
2023,Karnataka,Energy,343.4,19.97,19.89,178.93,246.61,198.64,6.83,84742.49,30.66,115.59,65.51,44.03,6173.41,0.161037,15.709,625.7159999999999,0.057795000000000006,366.85600000000005,1008.499832
2020,Punjab,Energy,200.07,4.82,15.75,449.56,165.85,145.57,22.86,91445.21,49.31,44.95,87.16,53.46,4508.78,0.404604,52.577999999999996,458.54549999999995,0.022475000000000002,488.09599999999995,999.6465789999999
2003,Assam,Transport,333.61,33.62,17.12,388.99,343.43,200.29,44.45,66315.72,15.6,15.35,40.38,77.96,5811.77,0.35009100000000004,102.235,630.9135,0.007675,226.12800000000001,959.634266
2007,Arunachal Pradesh,Transport,468.92,41.2,11.9,417.06,229.18,7.71,5.22,27617.45,11.32,191.42,68.87,76.8,4776.02,0.37535399999999997,12.005999999999998,24.2865,0.09570999999999999,385.672,422.435564
2023,Goa,Energy,102.02,33.35,7.03,149.71,343.49,235.71,36.91,89771.14,4.69,165.65,36.38,76.72,2898.7700000000004,0.134739,84.89299999999999,742.4865,0.08282500000000001,203.728,1031.3250639999999
2002,Telangana,Agriculture,270.59,21.35,19.83,437.38,109.84,217.77,14.4,27997.98,14.92,151.88,36.15,8.6,6123.34,0.393642,33.12,685.9755,0.07594,202.44,922.0050819999999
2021,Sikkim,Waste,125.02,14.8,4.96,326.64,228.47,13.93,3.89,39023.65,41.51,106.9,83.9,64.34,1853.8200000000002,0.293976,8.947,43.8795,0.053450000000000004,469.84000000000003,523.0139260000001
2020,Tripura,Industry,428.57,20.77,17.47,370.32,88.64,105.41,44.76,3165.37,7.42,127.53,54.86,72.82,5639.679999999999,0.33328800000000003,102.948,332.0415,0.063765,307.216,742.602553
2001,Puducherry,Waste,363.31,21.48,18.23,159.65,280.85,229.95,48.62,58222.16,8.27,172.87,40.52,68.73,5795.7,0.143685,111.82599999999998,724.3425,0.086435,226.91200000000003,1063.3106200000002
2023,Chhattisgarh,Industry,402.53,33.47,16.37,126.28,236.82,128.69,6.68,44121.4,8.0,77.77,20.22,25.28,5677.74,0.113652,15.363999999999999,405.3735,0.038884999999999996,113.23199999999999,534.122037
2011,Nagaland,Industry,472.08,46.44,2.37,207.05,224.62,23.77,44.81,65142.07,6.7,20.92,79.64,34.51,2400.45,0.18634500000000004,103.063,74.8755,0.01046,445.98400000000004,624.119305
2005,Meghalaya,Energy,123.83,3.99,17.1,289.73,257.45,241.66,32.44,96826.43,23.2,168.19,63.05,12.86,4767.05,0.260757,74.612,761.2289999999999,0.084095,353.08,1189.265852
2001,Haryana,Industry,33.87,47.69,13.31,334.66,153.28,90.26,10.15,6670.9,41.55,12.55,72.04,47.98,4896.34,0.301194,23.345,284.319,0.006275,403.42400000000004,711.395469
2020,Tripura,Energy,152.54,45.55,13.65,251.49,80.83,129.55,33.61,10056.69,23.52,183.71,43.65,2.36,5045.19,0.22634100000000001,77.303,408.08250000000004,0.091855,244.44,730.1436960000001
2000,Puducherry,Transport,205.58,6.33,15.75,350.94,323.53,158.36,40.59,56847.81,27.66,144.39,30.88,58.39,4556.57,0.315846,93.357,498.834,0.072195,172.928,765.507041
2011,Uttar Pradesh,Agriculture,316.33,9.59,9.86,355.62,156.83,208.28,24.74,99791.48,29.02,89.09,72.47,14.66,3197.7499999999995,0.320058,56.901999999999994,656.082,0.044545,405.832,1119.1806029999998
2021,Punjab,Industry,400.88,15.92,5.42,334.71,395.63,218.41,45.48,29511.55,19.88,123.07,8.72,61.37,2282.94,0.301239,104.60399999999998,687.9915,0.061535,48.83200000000001,841.790274
2011,Sikkim,Agriculture,181.4,28.2,11.54,129.29,195.0,163.62,26.47,54108.47,17.62,107.01,66.04,27.55,4029.1,0.11636099999999999,60.88099999999999,515.403,0.053505000000000004,369.82400000000007,946.277866
2024,Karnataka,Energy,242.01,7.16,2.26,225.93,198.56,237.16,9.35,21167.54,32.01,80.31,97.68,79.51,1041.3899999999999,0.20333700000000002,21.505,747.054,0.040155,547.008,1315.810492
2016,Jharkhand,Industry,394.88,10.42,13.53,384.05,272.74,55.54,35.49,53443.71,18.16,25.71,81.47,33.23,4272.09,0.34564500000000004,81.627,174.951,0.012855,456.232,713.1685
2009,Telangana,Waste,120.41,45.18,9.71,444.05,268.36,226.3,33.88,19153.59,6.73,161.67,73.25,65.71,3958.6000000000004,0.39964500000000003,77.924,712.845,0.08083499999999999,410.2,1201.44948
2015,Tripura,Transport,116.39,5.91,10.1,253.08,76.3,48.33,32.06,18534.78,43.27,117.55,44.15,17.59,2958.37,0.22777200000000003,73.738,152.2395,0.058775,247.24,473.504047
2014,Kerala,Transport,298.72,20.24,3.8,493.46,112.56,223.72,44.0,34529.78,29.74,140.51,1.73,41.73,1872.44,0.444114,101.19999999999999,704.718,0.070255,9.688,816.1203689999999
2014,Rajasthan,Industry,223.67,38.27,0.92,91.48,96.45,54.76,26.44,94022.3,41.6,41.68,98.49,56.39,1539.0300000000002,0.08233200000000002,60.812,172.494,0.02084,551.544,784.953172
2018,West Bengal,Transport,474.96,44.48,12.26,116.07,26.1,180.09,35.24,66285.0,24.38,40.26,92.07,42.33,4969.3,0.104463,81.05199999999999,567.2835,0.02013,515.592,1164.052093
2011,Goa,Waste,184.94,17.13,13.21,233.07,13.85,204.42,47.74,37795.61,32.53,167.8,49.86,60.05,4165.23,0.209763,109.80199999999999,643.9229999999999,0.0839,279.216,1033.2346629999997
2022,Uttarakhand,Agriculture,382.18,8.64,10.02,256.83,259.77,98.24,6.97,64228.66,46.05,109.47,68.77,51.31,3279.3999999999996,0.231147,16.031,309.45599999999996,0.054735,385.11199999999997,710.8848819999998
2019,Punjab,Waste,295.72,36.98,15.34,215.12,201.94,29.26,19.39,20750.29,37.69,90.57,56.02,52.82,5396.26,0.193608,44.597,92.169,0.045285,313.712,450.716893
2024,Chhattisgarh,Transport,36.74,38.74,11.32,218.05,358.37,91.27,11.02,64109.28,18.19,18.65,69.03,12.25,4121.26,0.196245,25.345999999999997,287.5005,0.009325,386.56800000000004,699.6200699999999
2002,Tamil Nadu,Agriculture,51.35,49.01,16.98,246.19,123.8,16.34,16.26,92104.78,17.09,85.24,5.47,67.09,5923.33,0.221571,37.398,51.471,0.04262,30.632,119.765191
2004,Himachal Pradesh,Waste,109.55,7.41,5.83,163.48,316.07,165.17,25.58,93757.25,14.35,140.72,99.84,6.38,1861.98,0.147132,58.83399999999999,520.2855,0.07036,559.104,1138.440992
2018,Uttar Pradesh,Energy,80.14,35.62,4.94,69.82,45.75,174.6,42.29,59061.46,24.32,20.73,78.07,21.96,2386.6000000000004,0.06283799999999999,97.267,549.99,0.010365000000000001,437.19199999999995,1084.522203
2006,Uttarakhand,Energy,171.39,21.16,5.3,478.27,327.49,67.81,20.04,88080.19,46.09,5.84,26.66,77.07,2168.37,0.430443,46.09199999999999,213.6015,0.00292,149.29600000000002,409.422863
2020,Delhi,Agriculture,293.7,45.77,0.71,398.52,368.86,163.25,27.94,39343.59,1.87,110.63,54.29,57.75,1763.4100000000003,0.358668,64.262,514.2375,0.055314999999999996,304.024,882.9374829999999
2008,Meghalaya,Agriculture,305.16,20.69,18.02,408.38,252.8,15.57,40.63,88672.9,38.27,63.23,47.39,73.18,5659.780000000001,0.36754200000000004,93.449,49.0455,0.031615,265.384,408.277657
2006,Sikkim,Agriculture,298.01,22.58,19.98,185.65,295.7,8.85,46.41,34082.69,18.27,181.2,35.5,2.55,6224.95,0.167085,106.74299999999998,27.877499999999998,0.0906,198.8,333.678185
2017,Maharashtra,Energy,67.63,6.78,16.35,204.92,395.18,102.59,17.55,70610.68,40.7,118.51,43.92,14.0,4590.22,0.184428,40.365,323.1585,0.059255,245.95200000000003,609.719183
2003,Sikkim,Waste,304.11,16.39,8.31,468.24,154.38,121.63,8.98,91972.21,22.26,60.09,56.96,78.28,2965.1800000000003,0.421416,20.654,383.1345,0.030045000000000002,318.97600000000006,723.2159610000001
2024,Haryana,Agriculture,210.78,20.34,7.14,486.59,16.6,5.63,29.15,56936.09,36.38,62.78,51.19,52.89,2672.3999999999996,0.437931,67.04499999999999,17.7345,0.03139,286.664,371.912821
2013,Uttarakhand,Energy,452.5,1.37,15.52,471.6,274.63,147.89,44.8,28183.8,42.06,25.82,83.83,12.17,4603.66,0.42444000000000004,103.03999999999999,465.85349999999994,0.01291,469.44800000000004,1038.77885
2017,Punjab,Agriculture,456.87,22.16,10.25,323.09,10.27,208.36,12.5,70095.5,24.05,87.53,12.01,49.98,3793.6,0.290781,28.749999999999996,656.3340000000001,0.043765,67.256,752.6745460000001
2008,Odisha,Agriculture,386.41,17.15,18.8,125.14,229.48,103.22,25.02,12163.31,36.88,13.69,5.68,28.64,5848.61,0.112626,57.54599999999999,325.143,0.0068449999999999995,31.807999999999996,414.61647099999993
2020,Maharashtra,Agriculture,354.52,40.29,5.66,304.46,241.0,187.02,24.35,35229.61,4.35,88.13,50.62,56.34,2982.54,0.27401400000000004,56.004999999999995,589.113,0.044065,283.47200000000004,928.908079
2001,Gujarat,Energy,66.33,5.8,6.54,296.6,235.88,38.63,46.36,89692.05,15.6,24.1,46.8,69.96,1961.83,0.26694000000000007,106.62799999999999,121.6845,0.012050000000000002,262.08,490.67148999999995
2019,Chhattisgarh,Waste,51.5,38.13,19.98,454.58,70.54,132.87,22.89,73964.08,16.8,135.43,64.58,72.69,6413.84,0.40912200000000004,52.647,418.5405,0.06771500000000001,361.648,833.3123370000001
2014,Nagaland,Energy,422.01,35.84,19.57,159.28,35.29,197.5,26.86,6409.85,24.3,130.22,29.09,6.78,6611.58,0.143352,61.77799999999999,622.125,0.06511,162.90400000000002,847.015462
2006,Arunachal Pradesh,Energy,219.24,12.47,17.72,104.34,363.56,170.83,7.0,57804.43,32.7,167.67,9.05,7.86,5264.199999999999,0.093906,16.099999999999998,538.1145,0.08383499999999999,50.68000000000001,605.0722410000001
2011,Karnataka,Agriculture,231.17,4.62,8.15,136.57,218.93,195.13,22.97,25572.93,24.04,184.48,80.45,15.04,2520.2799999999997,0.122913,52.830999999999996,614.6595,0.09224,450.52,1118.225653
2007,Sikkim,Industry,425.42,42.17,16.77,125.36,132.62,180.56,17.16,2339.14,42.31,130.78,44.1,25.93,6050.2300000000005,0.112824,39.467999999999996,568.764,0.06539,246.96,855.370214
2014,Haryana,Industry,314.5,12.85,5.74,325.95,309.84,31.14,11.16,27468.31,13.65,30.86,13.68,43.37,2195.4,0.29335500000000003,25.668,98.091,0.01543,76.608,200.675785
2002,Andhra Pradesh,Industry,97.91,7.71,5.17,407.15,369.05,26.56,25.48,77624.27,7.61,101.65,95.57,72.25,1683.84,0.366435,58.604,83.66399999999999,0.050825,535.192,677.87726
2013,Uttarakhand,Energy,113.4,18.27,10.97,187.22,164.67,243.91,38.57,40834.9,19.17,188.24,94.42,20.53,3532.01,0.16849799999999998,88.711,768.3165,0.09412000000000001,528.752,1386.0421179999998
2016,Sikkim,Agriculture,13.12,20.34,17.22,92.32,43.83,121.09,8.92,27319.43,12.88,39.86,16.34,44.9,5145.94,0.083088,20.516,381.4335,0.01993,91.504,493.556518
2003,Kerala,Industry,358.23,16.64,2.04,174.83,278.58,183.37,7.16,99893.26,30.08,77.87,80.69,49.46,1364.75,0.15734700000000001,16.468,577.6155,0.038935000000000004,451.86400000000003,1046.143782
2017,Arunachal Pradesh,Transport,247.95,48.84,11.35,275.55,363.47,170.7,6.3,58118.54,28.94,149.61,54.07,71.98,4623.22,0.24799500000000002,14.489999999999998,537.7049999999999,0.07480500000000001,302.79200000000003,855.3097999999999
2007,Nagaland,Transport,475.48,44.1,12.23,333.92,392.26,12.03,38.18,22974.32,37.1,152.66,29.91,77.97,4951.2300000000005,0.300528,87.814,37.894499999999994,0.07633,167.496,293.581358
2003,Gujarat,Transport,359.87,43.71,11.64,277.15,326.35,124.67,39.43,21087.7,39.52,189.88,39.4,25.15,4668.35,0.249435,90.689,392.71049999999997,0.09494,220.64,704.383875
2001,Uttar Pradesh,Waste,60.54,20.24,4.45,132.08,110.95,130.82,44.45,11226.29,7.95,49.43,96.45,38.81,1806.5099999999998,0.11887200000000002,102.235,412.08299999999997,0.024715,540.1200000000001,1054.5815870000001
2005,Mizoram,Agriculture,89.16,48.16,1.38,459.42,146.5,202.34,48.21,61560.06,17.88,171.66,33.46,46.77,1803.3400000000001,0.413478,110.883,637.371,0.08583,187.376,936.1293079999999
2021,Sikkim,Energy,255.85,34.36,17.91,221.72,59.01,240.58,18.93,88051.23,4.86,10.5,21.45,75.08,5964.08,0.199548,43.538999999999994,757.827,0.00525,120.12,921.6907980000001
2009,Puducherry,Energy,463.19,41.68,11.53,232.19,286.53,73.07,17.09,86133.31,34.31,29.16,46.75,65.69,4685.68,0.20897100000000002,39.306999999999995,230.17049999999998,0.014580000000000001,261.8,531.501051
2003,Tamil Nadu,Agriculture,131.15,25.29,15.38,483.86,71.86,15.65,49.57,94049.43,40.27,188.61,61.53,53.76,4914.97,0.435474,114.011,49.2975,0.09430500000000001,344.56800000000004,508.40627900000004
2021,Maharashtra,Waste,414.53,8.45,7.35,434.84,175.63,119.35,7.19,3285.6,48.11,176.15,28.53,38.15,2598.88,0.391356,16.537,375.9525,0.088075,159.768,552.736931
2017,Telangana,Agriculture,163.01,44.4,0.95,404.1,215.04,8.43,2.18,56570.1,47.89,12.19,77.41,75.75,1657.96,0.36369000000000007,5.014,26.554499999999997,0.006095,433.496,465.434285
2011,Gujarat,Waste,142.25,24.58,5.27,95.43,156.1,96.97,19.32,91771.16,31.96,13.53,60.6,15.83,2227.04,0.08588700000000002,44.436,305.4555,0.006765,339.36,689.3441519999999
2001,Sikkim,Industry,451.68,48.44,1.56,419.85,64.13,69.04,4.49,90129.75,37.23,70.38,92.8,7.92,2221.4,0.377865,10.327,217.47600000000003,0.03519,519.68,747.8960549999999
2009,Tripura,Industry,33.15,13.12,1.66,230.38,119.48,61.5,19.22,27826.76,11.23,80.0,32.12,12.77,840.4099999999999,0.20734200000000003,44.205999999999996,193.725,0.04,179.87199999999999,418.050342
2003,Delhi,Waste,333.76,49.62,4.37,108.65,254.94,1.4,20.64,50692.63,29.57,93.57,66.44,6.34,2881.17,0.09778500000000001,47.471999999999994,4.409999999999999,0.046785,372.064,424.09057
2013,Assam,Agriculture,31.15,11.51,12.71,495.49,292.1,63.41,31.97,10497.47,17.21,109.7,88.62,28.8,3721.58,0.44594100000000003,73.53099999999999,199.74149999999997,0.05485,496.272,770.0452909999999
2015,Uttarakhand,Industry,402.37,18.72,16.37,90.17,247.78,80.66,37.23,28145.25,6.34,26.13,0.54,51.44,5264.58,0.081153,85.62899999999999,254.07899999999998,0.013065,3.0240000000000005,342.8262179999999
2014,Goa,Agriculture,416.41,29.9,16.45,461.36,386.47,227.85,32.43,99206.23,25.04,197.28,49.51,66.24,5612.86,0.41522400000000004,74.589,717.7275,0.09864,277.25600000000003,1070.086364
2007,Punjab,Industry,447.74,34.82,18.76,5.26,247.38,22.98,35.39,58924.83,21.63,191.57,55.48,24.25,6394.1,0.004734,81.39699999999999,72.387,0.095785,310.688,464.57251899999994
2013,Arunachal Pradesh,Agriculture,101.18,36.15,13.16,221.77,94.01,191.98,18.51,99876.28,4.39,81.77,50.84,11.34,4600.78,0.19959300000000002,42.573,604.737,0.040885,284.704,932.2544780000001
2022,Mizoram,Agriculture,71.0,24.07,0.5,19.8,198.97,181.49,22.88,2638.16,47.77,97.55,29.24,70.58,877.46,0.01782,52.623999999999995,571.6935,0.048775,163.744,788.1280949999999
2024,Kerala,Transport,256.73,4.3,7.61,456.66,335.31,82.24,35.75,97164.32,47.87,72.63,9.11,34.35,2393.78,0.410994,82.225,259.056,0.036315,51.016000000000005,392.744309
2007,Kerala,Waste,143.1,25.05,2.32,67.32,133.69,226.84,7.46,36037.52,28.38,130.14,86.5,41.18,1459.3,0.060587999999999996,17.157999999999998,714.5459999999999,0.06506999999999999,484.40000000000003,1216.229658
2020,Puducherry,Energy,307.09,17.07,15.57,338.18,296.13,164.17,35.63,9208.75,47.27,139.86,51.04,17.55,4911.1,0.304362,81.949,517.1355,0.06993,285.824,885.282792
2015,Mizoram,Waste,261.74,33.05,2.48,317.45,315.15,25.15,47.58,9867.4,13.65,107.08,7.34,4.01,1844.34,0.285705,109.43399999999998,79.2225,0.05354,41.104,230.09974499999998
2012,Uttarakhand,Agriculture,80.98,9.52,2.21,390.64,373.92,51.8,8.87,35047.27,39.78,184.86,41.1,41.61,933.19,0.35157600000000006,20.400999999999996,163.17,0.09243000000000001,230.16000000000003,414.17500600000005
2017,Jharkhand,Agriculture,372.24,20.0,0.66,374.7,163.46,100.88,19.78,47894.44,47.51,69.34,18.41,29.31,1107.14,0.33723000000000003,45.494,317.772,0.03467,103.096,466.7339
2014,Assam,Waste,403.85,48.32,19.11,21.06,107.47,241.86,29.11,9442.02,20.37,52.01,31.14,36.59,6820.959999999999,0.018954000000000002,66.95299999999999,761.859,0.026005,174.38400000000001,1003.2409590000001
2020,Punjab,Agriculture,481.89,4.9,15.74,197.26,205.64,66.84,35.94,85302.74,15.82,131.13,81.68,16.19,4790.1900000000005,0.177534,82.66199999999999,210.546,0.065565,457.4080000000001,750.859099
2023,Nagaland,Industry,203.81,30.32,6.73,164.65,397.5,107.63,12.68,49113.21,35.03,32.52,52.03,15.67,2836.2200000000003,0.148185,29.163999999999998,339.0345,0.016260000000000004,291.368,659.730945
2024,Madhya Pradesh,Agriculture,175.49,4.99,7.59,486.58,361.34,140.61,29.27,37127.53,24.21,115.45,23.67,37.12,2326.56,0.437922,67.321,442.92150000000004,0.057725000000000005,132.55200000000002,643.290147
2012,Kerala,Waste,104.21,8.27,1.28,388.57,117.16,89.52,46.76,52630.06,19.55,64.66,81.06,18.84,674.97,0.34971300000000005,107.54799999999999,281.988,0.03233,453.936,843.854043
2008,Uttarakhand,Waste,98.62,30.44,3.24,355.44,82.7,175.54,17.94,49266.97,39.11,27.46,19.36,15.34,1809.54,0.319896,41.262,552.9509999999999,0.013730000000000001,108.416,702.962626
2014,Uttarakhand,Waste,167.32,22.48,6.3,223.87,193.4,165.56,28.5,11213.85,12.72,63.29,31.8,12.49,2466.26,0.201483,65.55,521.514,0.031645,178.08,765.3771280000001
2012,Puducherry,Transport,491.09,27.65,7.82,446.03,70.48,16.04,31.24,5962.47,34.72,40.51,3.42,34.39,3337.59,0.401427,71.85199999999999,50.525999999999996,0.020255,19.152,141.951682
2000,Uttarakhand,Transport,55.21,44.05,12.44,13.33,304.42,107.76,44.38,68181.6,19.99,125.9,95.71,48.83,4585.21,0.011997,102.074,339.444,0.06295,535.976,977.568947
2024,Mizoram,Transport,137.09,40.95,7.07,118.08,19.46,195.49,15.62,49277.0,13.8,10.34,41.9,33.59,3157.2400000000002,0.106272,35.925999999999995,615.7935,0.00517,234.64000000000001,886.470942
2006,Bihar,Transport,52.13,44.46,19.1,349.03,93.77,160.34,43.66,3425.86,46.62,163.67,16.75,73.63,6358.51,0.314127,100.41799999999998,505.07099999999997,0.08183499999999999,93.8,699.6849619999998
2008,Tamil Nadu,Transport,144.08,31.0,6.92,256.65,12.2,115.59,33.71,67009.88,13.15,116.85,51.22,52.56,2845.88,0.230985,77.533,364.1085,0.058425,286.832,728.7629099999999
2023,Jharkhand,Transport,55.28,24.74,18.84,269.23,94.56,182.74,35.88,70861.16,19.95,171.41,10.68,31.76,5740.6,0.24230700000000002,82.524,575.631,0.085705,59.80800000000001,718.2910119999999
2000,Karnataka,Transport,259.07,23.23,14.62,211.09,25.66,167.95,3.41,97031.97,31.43,32.05,89.97,30.47,4783.8099999999995,0.189981,7.843,529.0424999999999,0.016024999999999998,503.832,1040.9235059999999
2011,Goa,Waste,224.79,37.12,18.01,87.4,271.05,209.56,17.89,63372.63,3.99,94.45,6.23,23.73,6036.8,0.07866000000000001,41.147,660.114,0.047225,34.888000000000005,736.274885
2007,Goa,Energy,95.28,26.3,14.09,87.28,230.26,13.7,5.99,28227.12,6.01,133.59,62.1,27.32,4565.53,0.07855200000000001,13.777,43.154999999999994,0.06679500000000001,347.76000000000005,404.837347
2023,Uttarakhand,Transport,95.66,5.74,11.41,150.77,89.5,134.28,28.12,24632.31,31.82,29.17,89.19,29.8,3280.03,0.135693,64.676,422.98199999999997,0.014585,499.46400000000006,987.272278
2010,Himachal Pradesh,Waste,316.79,7.53,10.23,236.81,86.01,165.42,41.9,46290.43,29.97,2.79,24.84,23.49,3238.5800000000004,0.213129,96.36999999999999,521.073,0.001395,139.10399999999998,756.761524
2018,Puducherry,Energy,199.69,18.18,5.9,412.94,120.02,169.18,20.56,10144.64,30.53,188.6,9.92,9.01,2272.23,0.37164600000000003,47.288,532.917,0.0943,55.552,636.222946
2016,Manipur,Transport,37.54,3.86,6.03,226.18,320.29,230.69,11.36,50103.31,30.07,156.15,46.45,39.31,1743.5700000000002,0.20356200000000002,26.127999999999997,726.6735,0.078075,260.12,1013.203137
2007,Arunachal Pradesh,Energy,460.89,12.34,4.54,449.41,64.45,103.49,15.3,33457.07,41.9,156.44,59.13,36.7,2009.5099999999998,0.4044690000000001,35.19,325.9935,0.07822,331.12800000000004,692.794189
2002,Bihar,Energy,208.43,32.99,7.77,64.66,53.07,198.98,28.7,83157.51,17.19,184.1,29.05,58.33,3191.2,0.058193999999999996,66.00999999999999,626.7869999999999,0.09204999999999999,162.68,855.6272439999998
2002,Chhattisgarh,Industry,299.61,1.12,2.63,139.53,205.68,196.72,38.4,69799.77,9.6,115.62,32.58,73.35,1027.92,0.125577,88.32,619.668,0.05781,182.448,890.619387
2000,Mizoram,Agriculture,443.85,30.4,7.81,39.91,346.66,67.95,34.52,26411.01,44.97,128.31,63.84,49.37,3364.7,0.035919,79.396,214.0425,0.064155,357.504,651.0425740000001
2004,Haryana,Industry,207.06,38.73,16.69,257.46,93.52,67.81,47.11,48373.23,28.41,41.8,97.67,58.69,5714.35,0.231714,108.353,213.6015,0.0209,546.9520000000001,869.159114
2009,Haryana,Energy,412.12,8.92,17.42,49.57,46.97,235.77,44.21,71970.39,39.66,94.08,42.54,41.31,5278.18,0.044613,101.68299999999999,742.6755,0.04704,238.22400000000002,1082.6741530000002
2006,Sikkim,Waste,458.23,9.46,12.89,398.86,199.22,81.78,5.34,18130.56,10.41,31.52,44.43,32.95,4138.96,0.35897400000000007,12.281999999999998,257.60699999999997,0.01576,248.80800000000002,519.071734
2008,Kerala,Transport,95.29,1.93,5.21,24.68,294.2,104.19,35.21,96932.18,23.72,19.77,87.06,4.95,1529.98,0.022212,80.98299999999999,328.19849999999997,0.009885,487.53600000000006,896.749597
2006,Rajasthan,Agriculture,447.32,25.87,4.88,240.32,249.24,151.38,19.74,10079.76,6.79,51.07,39.04,30.97,2464.88,0.216288,45.401999999999994,476.847,0.025535000000000002,218.624,741.114823
2008,Haryana,Transport,68.72,32.9,5.63,213.2,170.18,79.83,16.87,95373.35,5.85,91.9,32.91,41.43,2481.87,0.19188,38.801,251.4645,0.045950000000000005,184.296,474.79933
2007,Odisha,Waste,144.81,23.12,10.05,105.11,20.96,165.79,23.85,2652.45,23.26,127.65,46.63,25.07,3455.42,0.094599,54.855,522.2384999999999,0.063825,261.12800000000004,838.379924
2011,Assam,Agriculture,406.02,19.78,19.53,295.49,123.73,73.07,38.34,48861.88,30.16,100.87,4.3,30.04,6135.31,0.26594100000000004,88.182,230.17049999999998,0.050435,24.08,342.74887599999994
2001,Nagaland,Industry,451.34,22.99,2.27,196.12,368.1,132.31,20.9,29527.79,46.45,178.89,91.06,28.49,1696.61,0.17650800000000003,48.06999999999999,416.7765,0.089445,509.936,975.048453
2000,Rajasthan,Energy,345.23,39.19,10.06,102.99,93.03,140.34,41.07,96797.25,3.39,65.37,9.87,44.32,4108.45,0.09269100000000001,94.461,442.071,0.032685000000000006,55.272,591.929376
2015,Odisha,Waste,61.36,2.16,13.68,414.15,247.51,200.34,23.65,85697.69,19.26,169.36,90.06,76.96,3747.04,0.37273500000000004,54.394999999999996,631.071,0.08468,504.336,1190.259415
