Year,State/UT,Sector,CO₂ Emissions (Million Tonnes),CH₄ Emissions (Million Tonnes CO₂e),N₂O Emissions (Million Tonnes CO₂e),Energy Consumption (TWh),Electricity Generation (TWh),Fossil Fuel Consumption (MTOE),Vehicle Count (Million Units),Industrial Output (GDP Contribution in ₹ Cr),Agricultural Land Usage (Million Hectares),Deforestation Rate (sq. km per year),Waste Generation (Million Tonnes),Renewable Energy Share (%)
2018,Uttar Pradesh,Energy,80.14,35.62,4.94,69.82,45.75,174.6,42.29,59061.46,24.32,20.73,78.07,21.96
2006,Uttarakhand,Energy,171.39,21.16,5.3,478.27,327.49,67.81,20.04,88080.19,46.09,5.84,26.66,77.07
2020,Delhi,Agriculture,293.7,45.77,0.71,398.52,368.86,163.25,27.94,39343.59,1.87,110.63,54.29,57.75
2008,Meghalaya,Agriculture,305.16,20.69,18.02,408.38,252.8,15.57,40.63,88672.9,38.27,63.23,47.39,73.18
2006,Sikkim,Agriculture,298.01,22.58,19.98,185.65,295.7,8.85,46.41,34082.69,18.27,181.2,35.5,2.55
2017,Maharashtra,Energy,67.63,6.78,16.35,204.92,395.18,102.59,17.55,70610.68,40.7,118.51,43.92,14.0
2003,Sikkim,Waste,304.11,16.39,8.31,468.24,154.38,121.63,8.98,91972.21,22.26,60.09,56.96,78.28
2024,Haryana,Agriculture,210.78,20.34,7.14,486.59,16.6,5.63,29.15,56936.09,36.38,62.78,51.19,52.89
2013,Uttarakhand,Energy,452.5,1.37,15.52,471.6,274.63,147.89,44.8,28183.8,42.06,25.82,83.83,12.17
2017,Punjab,Agriculture,456.87,22.16,10.25,323.09,10.27,208.36,12.5,70095.5,24.05,87.53,12.01,49.98
2008,Odisha,Agriculture,386.41,17.15,18.8,125.14,229.48,103.22,25.02,12163.31,36.88,13.69,5.68,28.64
2020,Maharashtra,Agriculture,354.52,40.29,5.66,304.46,241.0,187.02,24.35,35229.61,4.35,88.13,50.62,56.34
2001,Gujarat,Energy,66.33,5.8,6.54,296.6,235.88,38.63,46.36,89692.05,15.6,24.1,46.8,69.96
2019,Chhattisgarh,Waste,51.5,38.13,19.98,454.58,70.54,132.87,22.89,73964.08,16.8,135.43,64.58,72.69
2014,Nagaland,Energy,422.01,35.84,19.57,159.28,35.29,197.5,26.86,6409.85,24.3,130.22,29.09,6.78
2006,Arunachal Pradesh,Energy,219.24,12.47,17.72,104.34,363.56,170.83,7.0,57804.43,32.7,167.67,9.05,7.86
2011,Karnataka,Agriculture,231.17,4.62,8.15,136.57,218.93,195.13,22.97,25572.93,24.04,184.48,80.45,15.04
2007,Sikkim,Industry,425.42,42.17,16.77,125.36,132.62,180.56,17.16,2339.14,42.31,130.78,44.1,25.93
2014,Haryana,Industry,314.5,12.85,5.74,325.95,309.84,31.14,11.16,27468.31,13.65,30.86,13.68,43.37
2002,Andhra Pradesh,Industry,97.91,7.71,5.17,407.15,369.05,26.56,25.48,77624.27,7.61,101.65,95.57,72.25
2013,Uttarakhand,Energy,113.4,18.27,10.97,187.22,164.67,243.91,38.57,40834.9,19.17,188.24,94.42,20.53
2016,Sikkim,Agriculture,13.12,20.34,17.22,92.32,43.83,121.09,8.92,27319.43,12.88,39.86,16.34,44.9
2003,Kerala,Industry,358.23,16.64,2.04,174.83,278.58,183.37,7.16,99893.26,30.08,77.87,80.69,49.46
2017,Arunachal Pradesh,Transport,247.95,48.84,11.35,275.55,363.47,170.7,6.3,58118.54,28.94,149.61,54.07,71.98
2007,Nagaland,Transport,475.48,44.1,12.23,333.92,392.26,12.03,38.18,22974.32,37.1,152.66,29.91,77.97
2003,Gujarat,Transport,359.87,43.71,11.64,277.15,326.35,124.67,39.43,21087.7,39.52,189.88,39.4,25.15
2001,Uttar Pradesh,Waste,60.54,20.24,4.45,132.08,110.95,130.82,44.45,11226.29,7.95,49.43,96.45,38.81
2005,Mizoram,Agriculture,89.16,48.16,1.38,459.42,146.5,202.34,48.21,61560.06,17.88,171.66,33.46,46.77
2021,Sikkim,Energy,255.85,34.36,17.91,221.72,59.01,240.58,18.93,88051.23,4.86,10.5,21.45,75.08
2009,Puducherry,Energy,463.19,41.68,11.53,232.19,286.53,73.07,17.09,86133.31,34.31,29.16,46.75,65.69
2003,Tamil Nadu,Agriculture,131.15,25.29,15.38,483.86,71.86,15.65,49.57,94049.43,40.27,188.61,61.53,53.76
2021,Maharashtra,Waste,414.53,8.45,7.35,434.84,175.63,119.35,7.19,3285.6,48.11,176.15,28.53,38.15
2017,Telangana,Agriculture,163.01,44.4,0.95,404.1,215.04,8.43,2.18,56570.1,47.89,12.19,77.41,75.75
2011,Gujarat,Waste,142.25,24.58,5.27,95.43,156.1,96.97,19.32,91771.16,31.96,13.53,60.6,15.83
2001,Sikkim,Industry,451.68,48.44,1.56,419.85,64.13,69.04,4.49,90129.75,37.23,70.38,92.8,7.92
2009,Tripura,Industry,33.15,13.12,1.66,230.38,119.48,61.5,19.22,27826.76,11.23,80.0,32.12,12.77
2003,Delhi,Waste,333.76,49.62,4.37,108.65,254.94,1.4,20.64,50692.63,29.57,93.57,66.44,6.34
2013,Assam,Agriculture,31.15,11.51,12.71,495.49,292.1,63.41,31.97,10497.47,17.21,109.7,88.62,28.8
2015,Uttarakhand,Industry,402.37,18.72,16.37,90.17,247.78,80.66,37.23,28145.25,6.34,26.13,0.54,51.44
2014,Goa,Agriculture,416.41,29.9,16.45,461.36,386.47,227.85,32.43,99206.23,25.04,197.28,49.51,66.24
2007,Punjab,Industry,447.74,34.82,18.76,5.26,247.38,22.98,35.39,58924.83,21.63,191.57,55.48,24.25
2013,Arunachal Pradesh,Agriculture,101.18,36.15,13.16,221.77,94.01,191.98,18.51,99876.28,4.39,81.77,50.84,11.34
2022,Mizoram,Agriculture,71.0,24.07,0.5,19.8,198.97,181.49,22.88,2638.16,47.77,97.55,29.24,70.58
2024,Kerala,Transport,256.73,4.3,7.61,456.66,335.31,82.24,35.75,97164.32,47.87,72.63,9.11,34.35
2007,Kerala,Waste,143.1,25.05,2.32,67.32,133.69,226.84,7.46,36037.52,28.38,130.14,86.5,41.18
2020,Puducherry,Energy,307.09,17.07,15.57,338.18,296.13,164.17,35.63,9208.75,47.27,139.86,51.04,17.55
2015,Mizoram,Waste,261.74,33.05,2.48,317.45,315.15,25.15,47.58,9867.4,13.65,107.08,7.34,4.01
2012,Uttarakhand,Agriculture,80.98,9.52,2.21,390.64,373.92,51.8,8.87,35047.27,39.78,184.86,41.1,41.61
2017,Jharkhand,Agriculture,372.24,20.0,0.66,374.7,163.46,100.88,19.78,47894.44,47.51,69.34,18.41,29.31
2014,Assam,Waste,403.85,48.32,19.11,21.06,107.47,241.86,29.11,9442.02,20.37,52.01,31.14,36.59
2020,Punjab,Agriculture,481.89,4.9,15.74,197.26,205.64,66.84,35.94,85302.74,15.82,131.13,81.68,16.19
2023,Nagaland,Industry,203.81,30.32,6.73,164.65,397.5,107.63,12.68,49113.21,35.03,32.52,52.03,15.67
2024,Madhya Pradesh,Agriculture,175.49,4.99,7.59,486.58,361.34,140.61,29.27,37127.53,24.21,115.45,23.67,37.12
2012,Kerala,Waste,104.21,8.27,1.28,388.57,117.16,89.52,46.76,52630.06,19.55,64.66,81.06,18.84
2008,Uttarakhand,Waste,98.62,30.44,3.24,355.44,82.7,175.54,17.94,49266.97,39.11,27.46,19.36,15.34
2014,Uttarakhand,Waste,167.32,22.48,6.3,223.87,193.4,165.56,28.5,11213.85,12.72,63.29,31.8,12.49
2012,Puducherry,Transport,491.09,27.65,7.82,446.03,70.48,16.04,31.24,5962.47,34.72,40.51,3.42,34.39
2000,Uttarakhand,Transport,55.21,44.05,12.44,13.33,304.42,107.76,44.38,68181.6,19.99,125.9,95.71,48.83
2024,Mizoram,Transport,137.09,40.95,7.07,118.08,19.46,195.49,15.62,49277.0,13.8,10.34,41.9,33.59
2006,Bihar,Transport,52.13,44.46,19.1,349.03,93.77,160.34,43.66,3425.86,46.62,163.67,16.75,73.63
2008,Tamil Nadu,Transport,144.08,31.0,6.92,256.65,12.2,115.59,33.71,67009.88,13.15,116.85,51.22,52.56
2023,Jharkhand,Transport,55.28,24.74,18.84,269.23,94.56,182.74,35.88,70861.16,19.95,171.41,10.68,31.76
2000,Karnataka,Transport,259.07,23.23,14.62,211.09,25.66,167.95,3.41,97031.97,31.43,32.05,89.97,30.47
2011,Goa,Waste,224.79,37.12,18.01,87.4,271.05,209.56,17.89,63372.63,3.99,94.45,6.23,23.73
2007,Goa,Energy,95.28,26.3,14.09,87.28,230.26,13.7,5.99,28227.12,6.01,133.59,62.1,27.32
2023,Uttarakhand,Transport,95.66,5.74,11.41,150.77,89.5,134.28,28.12,24632.31,31.82,29.17,89.19,29.8
2010,Himachal Pradesh,Waste,316.79,7.53,10.23,236.81,86.01,165.42,41.9,46290.43,29.97,2.79,24.84,23.49
2018,Puducherry,Energy,199.69,18.18,5.9,412.94,120.02,169.18,20.56,10144.64,30.53,188.6,9.92,9.01
2016,Manipur,Transport,37.54,3.86,6.03,226.18,320.29,230.69,11.36,50103.31,30.07,156.15,46.45,39.31
2007,Arunachal Pradesh,Energy,460.89,12.34,4.54,449.41,64.45,103.49,15.3,33457.07,41.9,156.44,59.13,36.7
2002,Bihar,Energy,208.43,32.99,7.77,64.66,53.07,198.98,28.7,83157.51,17.19,184.1,29.05,58.33
2002,Chhattisgarh,Industry,299.61,1.12,2.63,139.53,205.68,196.72,38.4,69799.77,9.6,115.62,32.58,73.35
2000,Mizoram,Agriculture,443.85,30.4,7.81,39.91,346.66,67.95,34.52,26411.01,44.97,128.31,63.84,49.37
2004,Haryana,Industry,207.06,38.73,16.69,257.46,93.52,67.81,47.11,48373.23,28.41,41.8,97.67,58.69
2009,Haryana,Energy,412.12,8.92,17.42,49.57,46.97,235.77,44.21,71970.39,39.66,94.08,42.54,41.31
2006,Sikkim,Waste,458.23,9.46,12.89,398.86,199.22,81.78,5.34,18130.56,10.41,31.52,44.43,32.95
2008,Kerala,Transport,95.29,1.93,5.21,24.68,294.2,104.19,35.21,96932.18,23.72,19.77,87.06,4.95
2006,Rajasthan,Agriculture,447.32,25.87,4.88,240.32,249.24,151.38,19.74,10079.76,6.79,51.07,39.04,30.97
2008,Haryana,Transport,68.72,32.9,5.63,213.2,170.18,79.83,16.87,95373.35,5.85,91.9,32.91,41.43
2007,Odisha,Waste,144.81,23.12,10.05,105.11,20.96,165.79,23.85,2652.45,23.26,127.65,46.63,25.07
2011,Assam,Agriculture,406.02,19.78,19.53,295.49,123.73,73.07,38.34,48861.88,30.16,100.87,4.3,30.04
2001,Nagaland,Industry,451.34,22.99,2.27,196.12,368.1,132.31,20.9,29527.79,46.45,178.89,91.06,28.49
2000,Rajasthan,Energy,345.23,39.19,10.06,102.99,93.03,140.34,41.07,96797.25,3.39,65.37,9.87,44.32
2015,Odisha,Waste,61.36,2.16,13.68,414.15,247.51,200.34,23.65,85697.69,19.26,169.36,90.06,76.96
2022,Odisha,Energy,266.27,39.3,4.99,332.04,363.44,215.16,3.11,90354.04,37.24,87.14,93.4,16.49
2022,Manipur,Energy,290.59,33.48,19.39,11.02,197.8,170.72,31.55,49678.8,15.89,27.61,88.6,29.0
2023,Goa,Transport,148.11,12.45,7.05,253.42,181.28,68.23,39.06,11474.47,37.89,173.17,8.79,79.67
2004,Meghalaya,Waste,495.73,26.47,18.65,139.3,60.72,116.5,15.87,25468.58,47.57,97.86,54.65,31.38
2002,Haryana,Energy,174.46,2.94,11.99,457.98,392.34,141.15,11.18,53560.55,29.84,28.01,35.52,63.19
2011,Meghalaya,Industry,113.02,19.29,0.18,364.16,74.78,75.16,32.04,39508.1,13.28,37.63,17.23,32.14
2007,Nagaland,Agriculture,63.97,9.12,6.29,307.75,195.18,235.06,17.7,33439.42,30.16,14.44,54.2,39.92
2021,Punjab,Waste,195.47,1.6,0.53,49.08,72.68,28.05,45.3,30977.44,15.86,128.84,4.26,62.02
2002,Meghalaya,Transport,349.38,18.18,7.69,465.67,142.61,208.53,38.36,24182.67,9.3,72.63,30.49,44.59
2000,Karnataka,Waste,123.39,36.44,18.66,76.38,354.18,107.18,23.11,54254.91,39.84,193.28,52.29,38.35
2002,Gujarat,Transport,387.08,46.09,15.6,228.12,259.11,236.43,48.78,69134.16,33.48,107.69,98.09,11.83
2004,Mizoram,Agriculture,76.35,33.28,12.44,342.12,8.89,133.6,17.29,69418.27,42.65,49.09,51.79,79.92
2014,Mizoram,Industry,225.83,20.4,10.82,249.91,386.87,182.7,22.29,5422.78,43.73,117.78,31.2,15.77
2013,Kerala,Energy,354.16,49.98,7.51,441.82,314.64,183.89,32.48,3667.89,18.48,195.34,55.28,36.6
2002,Madhya Pradesh,Waste,76.3,14.51,4.31,418.49,399.03,174.8,25.65,9636.2,6.51,4.63,4.98,50.35
2000,Jharkhand,Transport,302.94,9.76,1.34,72.01,306.33,13.29,17.28,2756.64,24.1,33.97,81.68,5.14
2004,Gujarat,Agriculture,401.49,23.45,3.88,310.73,307.12,155.92,20.95,44600.63,18.37,185.63,90.19,15.75
2022,Maharashtra,Energy,301.82,25.49,7.1,30.84,281.25,223.81,43.2,6313.45,32.03,4.91,4.03,64.33
2013,Tamil Nadu,Agriculture,260.62,18.06,10.45,361.69,172.18,211.03,9.99,44127.49,42.31,192.67,20.76,51.92
2006,Andhra Pradesh,Industry,420.77,34.93,4.17,369.33,129.4,228.82,15.95,34353.22,30.97,125.56,3.65,33.09
2008,Mizoram,Energy,492.86,9.6,19.49,175.52,212.45,111.65,10.01,6802.32,1.53,46.33,90.13,49.4
2014,Bihar,Energy,98.84,25.76,1.63,394.36,75.4,114.2,25.66,9389.1,30.57,17.94,1.93,36.04
2014,Rajasthan,Energy,348.76,25.26,1.99,328.09,290.36,202.24,8.13,77436.69,7.33,20.83,2.3,43.18
2009,Chhattisgarh,Transport,49.52,41.28,13.68,254.51,398.94,76.56,8.64,72720.94,16.52,167.55,57.39,34.99
2012,Punjab,Energy,30.99,46.38,15.13,230.36,242.37,191.5,41.73,29326.99,12.77,164.29,18.74,4.56
2018,Telangana,Agriculture,147.6,33.33,19.45,59.02,343.3,126.6,35.18,13857.78,25.64,166.77,92.51,26.86
2006,Tamil Nadu,Transport,485.75,15.62,10.66,267.9,73.07,66.82,9.51,36277.6,39.58,192.13,81.29,40.53
2016,Tripura,Energy,280.58,34.64,3.4,82.27,330.9,161.28,19.39,48915.18,2.87,78.12,21.5,39.41
2019,Gujarat,Agriculture,141.45,12.94,18.76,329.74,363.44,74.65,45.85,52225.25,3.83,183.17,44.27,5.99
2003,Jharkhand,Agriculture,74.97,48.34,19.61,299.38,336.35,168.27,43.52,3433.83,48.0,32.3,84.28,62.65
2004,Mizoram,Waste,460.89,41.21,18.48,148.81,252.77,142.76,32.76,60500.04,22.53,187.84,1.83,30.79
2022,Delhi,Agriculture,187.56,21.84,17.45,127.26,370.92,180.83,14.27,63383.55,37.27,48.73,47.51,69.13
2006,Puducherry,Industry,160.28,39.33,1.64,240.65,384.78,150.17,18.73,64651.59,43.92,81.6,45.95,33.26
2012,Gujarat,Energy,430.4,20.73,17.11,258.68,327.07,189.81,32.7,63011.72,19.71,103.07,93.57,65.83
2014,Andhra Pradesh,Energy,306.16,4.19,19.07,399.97,221.11,249.06,28.07,95725.6,27.86,160.64,34.38,21.42
2010,Gujarat,Energy,92.63,35.49,11.09,155.46,334.94,117.47,28.08,71268.97,43.41,77.86,21.31,75.96
2003,Uttar Pradesh,Agriculture,216.54,20.53,15.47,204.69,151.92,149.96,21.23,32374.2,30.38,68.31,32.23,18.24
2012,Telangana,Agriculture,464.83,46.55,13.25,174.93,141.9,26.37,4.6,81401.82,10.23,196.56,29.43,15.1
2006,Karnataka,Energy,451.59,15.67,5.83,200.09,142.42,237.65,6.17,43738.79,30.34,14.92,81.68,20.71
2018,Himachal Pradesh,Transport,44.35,42.24,11.79,285.71,83.69,149.49,41.78,6981.37,48.35,5.12,68.48,8.08
2021,Kerala,Transport,141.62,34.18,17.8,280.95,251.06,26.6,44.22,65234.67,49.33,11.34,43.88,14.71
2001,Assam,Industry,85.72,42.74,9.98,183.86,266.28,100.6,44.7,38843.57,45.52,182.84,85.58,8.17
2009,Bihar,Waste,271.57,14.95,11.84,303.21,344.56,21.24,23.78,93102.75,36.37,46.56,59.21,16.64
2012,Bihar,Industry,377.49,23.34,10.68,309.94,279.33,124.8,46.78,34835.76,44.22,8.74,12.56,12.22
2024,West Bengal,Energy,154.82,41.24,5.72,265.81,313.08,69.99,41.9,5456.65,21.1,145.75,67.97,62.15
2020,Tripura,Energy,381.42,32.37,12.91,228.92,277.09,85.73,19.27,94731.87,17.75,128.09,26.44,48.51
2005,Madhya Pradesh,Energy,337.67,18.32,10.24,43.58,280.33,18.2,11.23,83406.15,49.75,158.35,68.49,24.35
2011,Tamil Nadu,Waste,366.83,25.84,4.73,272.93,139.52,190.84,36.46,97955.42,44.23,104.74,51.63,4.74
2011,Odisha,Agriculture,474.64,49.81,17.92,357.79,386.52,210.44,36.29,18920.01,6.61,35.43,75.19,61.71
2019,Jharkhand,Waste,218.06,37.22,19.01,111.59,257.32,35.89,44.52,3100.37,40.69,58.12,48.38,63.41
2010,Chhattisgarh,Industry,177.86,30.92,1.2,390.03,236.92,187.91,2.62,95158.82,1.59,12.24,88.33,71.65
2022,Gujarat,Agriculture,345.09,41.48,12.48,295.28,339.65,33.01,17.69,74489.96,21.9,140.77,36.5,38.96
2024,Telangana,Agriculture,405.7,22.38,8.36,122.57,171.28,22.3,1.84,85845.11,5.13,129.53,29.85,74.2
2006,Meghalaya,Industry,103.81,47.53,10.57,85.66,43.02,29.41,10.6,1391.76,19.05,136.12,22.28,60.92
2000,Andhra Pradesh,Agriculture,424.93,27.83,7.54,126.47,99.84,8.91,20.04,66046.12,40.7,195.53,54.17,1.36
2000,Kerala,Transport,38.35,16.68,9.54,380.75,324.2,94.64,6.24,71423.4,8.35,12.04,29.16,61.85
2024,Arunachal Pradesh,Industry,13.13,4.76,6.54,129.0,294.07,238.28,41.13,35002.85,18.23,13.02,71.97,78.84
2024,Gujarat,Industry,87.63,19.1,2.44,343.2,51.29,224.91,10.22,47869.68,13.51,147.68,24.42,60.25
2019,Karnataka,Transport,489.55,28.65,6.11,275.18,32.51,83.64,20.63,14152.69,7.37,194.55,51.53,77.27
2012,Delhi,Waste,266.55,35.31,13.44,275.69,250.65,198.87,40.1,8921.14,48.49,108.54,62.02,43.95
2008,Puducherry,Waste,32.82,43.82,1.1,427.04,375.77,206.32,5.92,81241.06,22.27,162.54,48.14,32.09
2002,Madhya Pradesh,Waste,498.62,47.23,7.72,437.99,74.09,38.86,31.02,82395.77,2.07,121.88,4.33,44.65
2006,Arunachal Pradesh,Agriculture,375.01,5.57,0.94,270.77,221.86,58.13,47.03,23793.99,34.2,186.48,33.67,1.15
2005,Gujarat,Transport,420.62,30.24,7.19,37.32,325.73,172.93,22.77,81868.02,26.72,39.92,84.32,39.57
2007,Manipur,Industry,114.34,33.5,1.84,84.79,213.83,66.74,12.08,37045.92,41.17,72.42,70.57,52.33
2008,Tripura,Industry,61.67,9.02,6.86,474.59,143.69,234.6,47.17,29607.77,18.82,122.55,98.85,46.89
2004,Karnataka,Industry,262.39,27.51,16.78,71.67,317.28,58.45,2.8,79425.47,45.61,39.72,29.31,30.89
2000,Arunachal Pradesh,Agriculture,388.37,17.07,12.31,418.5,309.63,199.99,15.65,70960.75,2.37,166.83,93.06,76.73
2018,Gujarat,Agriculture,322.51,4.33,13.68,272.5,333.04,189.77,40.89,63877.82,26.69,159.58,42.73,63.82
2009,Bihar,Waste,319.22,3.76,10.13,61.44,378.32,126.44,7.78,79756.44,24.95,143.79,7.46,67.83
2011,Karnataka,Agriculture,380.98,38.08,18.46,460.15,64.5,66.56,4.3,86453.09,1.58,124.02,35.97,32.05
2023,Delhi,Waste,121.24,30.97,10.87,464.41,139.61,9.43,22.95,94914.16,4.1,43.84,20.28,10.7
2014,Arunachal Pradesh,Waste,334.14,35.9,2.18,309.6,394.46,207.27,16.66,62728.45,15.1,174.0,28.53,16.61
2021,Delhi,Industry,202.13,34.42,18.67,197.49,239.84,95.06,39.88,10003.49,29.16,115.51,33.47,35.6
2023,Meghalaya,Agriculture,44.18,7.15,2.75,305.71,269.7,85.69,16.92,36029.37,11.12,42.38,31.19,24.31
2008,Gujarat,Waste,109.05,8.0,19.98,315.74,354.22,12.08,33.52,14033.61,10.01,147.38,3.46,33.36
2019,Madhya Pradesh,Transport,399.06,13.0,8.76,312.96,277.96,38.68,28.05,13035.75,7.66,6.33,29.52,19.97
2016,Chhattisgarh,Transport,449.01,20.26,1.56,368.04,274.88,92.61,29.89,98923.29,46.47,43.61,59.27,79.78
2016,Mizoram,Agriculture,148.58,46.99,17.3,38.24,46.28,173.02,25.61,19300.9,28.67,45.37,77.68,26.34
2019,Rajasthan,Industry,103.28,33.86,1.95,55.75,205.2,52.62,6.86,74052.48,13.07,58.33,0.71,18.42
2011,Kerala,Industry,23.1,13.13,3.57,144.98,270.91,41.74,3.2,78398.99,48.59,6.87,10.08,61.84
2006,West Bengal,Waste,474.37,3.27,8.41,178.1,323.88,66.31,27.24,49648.07,21.01,168.52,62.37,34.27
2001,Odisha,Agriculture,345.09,34.37,13.56,320.83,168.23,71.57,32.51,1456.61,6.5,19.47,7.93,10.36
2002,Gujarat,Transport,478.94,31.45,2.51,90.08,53.8,103.09,36.29,73043.39,26.04,165.84,1.72,11.61
2016,Goa,Waste,433.29,33.95,12.49,272.81,149.5,90.87,36.13,95254.78,22.32,36.05,31.6,40.18
2004,Haryana,Waste,176.83,13.43,15.63,96.74,174.75,19.41,37.04,77204.34,31.26,168.2,69.3,34.55
2016,Madhya Pradesh,Energy,65.21,26.09,2.56,180.97,301.65,154.86,1.11,53329.3,35.26,5.82,85.29,30.93
2023,Chhattisgarh,Agriculture,254.54,18.4,12.99,468.07,12.81,33.49,11.25,59165.49,17.95,156.9,53.16,57.46
2016,Arunachal Pradesh,Waste,23.14,40.98,19.18,448.37,157.39,217.24,36.51,16684.61,9.39,106.56,47.64,72.49
